日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/11/01,"17,607,421","334,886,382",19.05,19.15,18.95,19.05, 0.00,"2,894"
108/11/04,"11,658,113","223,825,231",19.05,19.30,19.05,19.30,+0.25,"2,727"
108/11/05,"15,094,195","294,190,344",19.30,19.60,19.30,19.60,+0.30,"3,131"
108/11/06,"27,469,317","546,394,939",19.65,20.10,19.50,19.95,+0.35,"5,092"
108/11/07,"9,500,692","188,994,132",19.95,19.95,19.80,19.95, 0.00,"2,995"
108/11/08,"12,662,190","251,694,046",20.00,20.00,19.80,19.90,-0.05,"3,721"
108/11/11,"10,783,180","213,912,674",19.90,19.95,19.75,19.90, 0.00,"3,331"
108/11/12,"11,430,340","227,435,499",19.95,19.95,19.85,19.90, 0.00,"2,935"
108/11/13,"12,268,444","243,308,546",19.80,19.90,19.75,19.80,-0.10,"3,075"
108/11/14,"11,022,431","218,076,746",19.75,19.90,19.65,19.80, 0.00,"1,781"
108/11/15,"11,990,879","237,903,010",19.65,20.00,19.65,19.85,+0.05,"1,851"
108/11/18,"6,943,877","138,515,644",19.95,20.00,19.85,20.00,+0.15,"1,829"
108/11/19,"8,331,778","165,808,679",19.90,20.00,19.85,19.85,-0.15,"2,524"
108/11/20,"9,298,654","185,183,051",19.85,20.00,19.80,20.00,+0.15,"2,614"
108/11/21,"13,359,400","264,407,594",19.80,19.90,19.75,19.75,-0.25,"2,323"
108/11/22,"7,598,637","150,332,952",19.75,19.85,19.75,19.80,+0.05,"2,190"
108/11/25,"8,914,783","176,825,752",19.80,19.90,19.75,19.90,+0.10,"2,076"
108/11/26,"35,814,402","711,643,672",19.85,20.00,19.80,19.85,-0.05,"3,061"
108/11/27,"11,449,437","228,746,761",19.90,20.05,19.90,20.05,+0.20,"2,924"
108/11/28,"7,789,604","155,829,700",20.05,20.05,19.95,20.00,-0.05,"2,426"
108/11/29,"8,606,799","170,587,089",19.95,19.95,19.75,19.75,-0.25,"1,919"
