Site,county,PM25,DataCreationDate,ItemUnit
麥寮,雲林縣,40,2018-03-27 04:00,μg/m3
關山,臺東縣,11,2018-03-27 04:00,μg/m3
馬公,澎湖縣,20,2018-03-27 04:00,μg/m3
金門,金門縣,28,2018-03-27 04:00,μg/m3
馬祖,連江縣,26,2018-03-27 04:00,μg/m3
埔里,南投縣,35,2018-03-27 04:00,μg/m3
復興,高雄市,54,2018-03-27 04:00,μg/m3
永和,新北市,16,2018-03-27 04:00,μg/m3
竹山,南投縣,49,2018-03-27 04:00,μg/m3
中壢,桃園市,32,2018-03-27 04:00,μg/m3
三重,新北市,19,2018-03-27 04:00,μg/m3
冬山,宜蘭縣,14,2018-03-27 04:00,μg/m3
宜蘭,宜蘭縣,16,2018-03-27 04:00,μg/m3
陽明,臺北市,20,2018-03-27 04:00,μg/m3
花蓮,花蓮縣,5,2018-03-27 04:00,μg/m3
臺東,臺東縣,13,2018-03-27 04:00,μg/m3
恆春,屏東縣,13,2018-03-27 04:00,μg/m3
潮州,屏東縣,33,2018-03-27 04:00,μg/m3
屏東,屏東縣,34,2018-03-27 04:00,μg/m3
小港,高雄市,35,2018-03-27 04:00,μg/m3
前鎮,高雄市,57,2018-03-27 04:00,μg/m3
前金,高雄市,69,2018-03-27 04:00,μg/m3
左營,高雄市,55,2018-03-27 04:00,μg/m3
楠梓,高雄市,43,2018-03-27 04:00,μg/m3
林園,高雄市,43,2018-03-27 04:00,μg/m3
大寮,高雄市,43,2018-03-27 04:00,μg/m3
鳳山,高雄市,35,2018-03-27 04:00,μg/m3
仁武,高雄市,58,2018-03-27 04:00,μg/m3
橋頭,高雄市,60,2018-03-27 04:00,μg/m3
美濃,高雄市,22,2018-03-27 04:00,μg/m3
臺南,臺南市,53,2018-03-27 04:00,μg/m3
安南,臺南市,51,2018-03-27 04:00,μg/m3
善化,臺南市,50,2018-03-27 04:00,μg/m3
新營,臺南市,60,2018-03-27 04:00,μg/m3
嘉義,嘉義市,38,2018-03-27 04:00,μg/m3
臺西,雲林縣,50,2018-03-27 04:00,μg/m3
朴子,嘉義縣,47,2018-03-27 04:00,μg/m3
新港,嘉義縣,44,2018-03-27 04:00,μg/m3
崙背,雲林縣,26,2018-03-27 04:00,μg/m3
斗六,雲林縣,42,2018-03-27 04:00,μg/m3
南投,南投縣,31,2018-03-27 04:00,μg/m3
二林,彰化縣,24,2018-03-27 04:00,μg/m3
線西,彰化縣,36,2018-03-27 04:00,μg/m3
彰化,彰化縣,7,2018-03-27 04:00,μg/m3
西屯,臺中市,25,2018-03-27 04:00,μg/m3
忠明,臺中市,35,2018-03-27 04:00,μg/m3
大里,臺中市,5,2018-03-27 04:00,μg/m3
沙鹿,臺中市,37,2018-03-27 04:00,μg/m3
豐原,臺中市,19,2018-03-27 04:00,μg/m3
三義,苗栗縣,25,2018-03-27 04:00,μg/m3
苗栗,苗栗縣,32,2018-03-27 04:00,μg/m3
頭份,苗栗縣,22,2018-03-27 04:00,μg/m3
新竹,新竹市,32,2018-03-27 04:00,μg/m3
竹東,新竹縣,22,2018-03-27 04:00,μg/m3
湖口,新竹縣,50,2018-03-27 04:00,μg/m3
龍潭,桃園市,24,2018-03-27 04:00,μg/m3
平鎮,桃園市,40,2018-03-27 04:00,μg/m3
觀音,桃園市,43,2018-03-27 04:00,μg/m3
大園,桃園市,33,2018-03-27 04:00,μg/m3
桃園,桃園市,42,2018-03-27 04:00,μg/m3
大同,臺北市,23,2018-03-27 04:00,μg/m3
松山,臺北市,14,2018-03-27 04:00,μg/m3
古亭,臺北市,14,2018-03-27 04:00,μg/m3
萬華,臺北市,16,2018-03-27 04:00,μg/m3
中山,臺北市,14,2018-03-27 04:00,μg/m3
士林,臺北市,24,2018-03-27 04:00,μg/m3
淡水,新北市,27,2018-03-27 04:00,μg/m3
林口,新北市,23,2018-03-27 04:00,μg/m3
菜寮,新北市,26,2018-03-27 04:00,μg/m3
新莊,新北市,32,2018-03-27 04:00,μg/m3
板橋,新北市,33,2018-03-27 04:00,μg/m3
土城,新北市,24,2018-03-27 04:00,μg/m3
新店,新北市,14,2018-03-27 04:00,μg/m3
萬里,新北市,12,2018-03-27 04:00,μg/m3
汐止,新北市,24,2018-03-27 04:00,μg/m3
基隆,基隆市,12,2018-03-27 04:00,μg/m3
