index_label,證劵代號,證劵名稱,外資買賣超張數,投信買賣超張數,自營商買賣超張數,自營商(自營部)買賣超張數,自營商(避險)買賣超張數,三大法人買賣超張數
1,00637L,元大滬深300正2  ,13417,-15,73835,4523,69312,87237
2,3481,群創            ,64813,0,15403,1037,14366,80216
3,2409,友達            ,57521,-29,13736,2268,11468,71228
4,2344,華邦電          ,20203,-12,1756,880,876,21947
5,0056,元大高股息      ,-1,-124,21352,0,21352,21227
6,2888,新光金          ,19368,-120,1797,989,808,21045
7,00633L,富邦上証正2     ,3619,4,16920,2310,14610,20543
8,2317,鴻海            ,15456,-81,2605,1694,911,17980
9,00655L,國泰中國A50正2  ,729,0,15036,0,15036,15765
10,2303,聯電            ,17259,-1317,-1310,-1607,296,14632
11,2330,台積電          ,11930,-8,945,101,844,12867
12,2337,旺宏            ,9100,0,1106,140,966,10206
13,2882,國泰金          ,10272,-97,-35,0,-35,10140
14,2883,開發金          ,33733,-140,-23574,-844,-22730,10019
15,2002,中鋼            ,9880,-132,138,138,0,9886
16,2887,台新金          ,9827,-101,-103,115,-218,9623
17,2892,第一金          ,9330,-105,108,108,0,9333
18,2323,中環            ,6253,0,2400,1882,518,8653
19,1314,中石化          ,8107,-10,397,28,369,8494
20,2890,永豐金          ,9658,-106,-1080,-1081,1,8472
21,2884,玉山金          ,8404,-110,79,75,4,8373
22,0050,元大台灣50      ,1908,0,6100,633,5467,8008
23,00636,國泰中國A50     ,2325,0,5334,-10,5344,7659
24,2880,華南金          ,7428,-99,63,63,0,7392
25,2834,臺企銀          ,6641,-53,123,111,12,6711
26,0061,元大寶滬深      ,1955,0,4570,1690,2880,6525
27,2823,中壽            ,6671,-34,-163,21,-184,6474
28,00850,元大臺灣ESG永續 ,54,0,5645,0,5645,5699
29,1303,南亞            ,5071,-62,557,435,122,5566
30,2891,中信金          ,11439,1946,-7831,-7842,11,5554
31,2885,元大金          ,5330,-111,99,176,-77,5318
32,00861,元大全球未來通訊,2,0,5111,0,5111,5113
33,2881,富邦金          ,5356,-82,-162,58,-220,5112
34,2448,晶電            ,5430,250,-637,-637,0,5043
35,2889,國票金          ,4902,0,46,46,0,4948
36,2324,仁寶            ,5056,-41,-243,899,-1142,4772
37,6116,彩晶            ,2094,0,2673,38,2635,4767
38,5880,合庫金          ,4707,-103,79,79,0,4683
39,2349,錸德            ,4539,0,4,4,0,4543
40,006205,富邦上証        ,2136,-900,3207,350,2857,4443
41,8150,南茂            ,4806,0,-449,9,-458,4357
42,2363,矽統            ,3995,0,17,17,0,4012
43,2886,兆豐金          ,4343,-241,-463,59,-522,3639
44,2801,彰銀            ,3371,-73,254,150,104,3552
45,2498,宏達電          ,2855,0,686,26,660,3541
46,2618,長榮航          ,3246,-32,168,62,106,3382
47,2308,台達電          ,3166,-21,110,141,-31,3255
48,2603,長榮            ,630,-15,2564,2561,3,3179
49,2449,京元電子        ,-1238,4347,-7,263,-270,3101
50,1309,台達化          ,2965,0,132,132,0,3097
51,2313,華通            ,2747,-596,922,707,215,3073
52,00739,元大MSCI A股    ,0,0,2960,0,2960,2960
53,2841,台開            ,2937,0,14,14,0,2951
54,9904,寶成            ,2670,-27,250,149,101,2893
55,2458,義隆            ,2806,-166,234,386,-152,2874
56,2353,宏碁            ,2201,-20,655,625,30,2836
57,00669R,國泰美國道瓊反1 ,252,0,2492,0,2492,2744
58,1909,榮成            ,2627,0,75,70,5,2702
59,00692,富邦公司治理    ,2,0,2609,0,2609,2611
60,6005,群益證          ,2601,-15,0,0,0,2586
61,2392,正崴            ,1831,0,747,230,517,2578
62,2347,聯強            ,2886,0,-426,-11,-415,2460
63,6505,台塑化          ,2326,-38,166,165,1,2454
64,2105,正新            ,2376,-12,70,70,0,2434
65,2456,奇力新          ,1978,0,440,73,367,2418
66,00643,群益深証中小    ,727,0,1678,90,1588,2405
67,3019,亞光            ,1514,0,890,486,404,2404
68,3673,TPK-KY          ,2036,0,352,-11,363,2388
69,2412,中華電          ,2344,-79,103,103,0,2368
70,3038,全台            ,2296,0,62,62,0,2358
71,3706,神達            ,2234,0,66,4,62,2300
72,2867,三商壽          ,2257,0,26,26,0,2283
73,3035,智原            ,2524,-50,-269,-131,-138,2205
74,2354,鴻準            ,2166,0,34,34,0,2200
75,2408,南亞科          ,2085,-62,159,87,72,2182
76,1907,永豐餘          ,2029,0,11,11,0,2040
77,2515,中工            ,1962,0,69,50,19,2031
78,3042,晶技            ,873,361,796,286,510,2030
79,5871,中租-KY         ,1911,80,38,22,16,2029
80,2312,金寶            ,1879,0,73,22,51,1952
81,2838,聯邦銀          ,1843,0,57,57,0,1900
82,2454,聯發科          ,2126,-17,-247,-33,-214,1862
83,5471,松翰            ,1822,0,35,3,32,1857
84,2104,國際中橡        ,1733,0,101,22,79,1834
85,2102,泰豐            ,1818,0,10,10,0,1828
86,2014,中鴻            ,1779,0,37,37,0,1816
87,2342,茂矽            ,1789,0,4,4,0,1793
88,1305,華夏            ,1681,0,109,109,0,1790
89,1402,遠東新          ,1672,-43,159,95,64,1788
90,2812,台中銀          ,1689,0,65,65,0,1754
91,006207,FH滬深          ,1160,0,462,80,382,1622
92,1312,國喬            ,1568,0,39,35,4,1607
93,00783,富邦中証500     ,995,0,609,0,609,1604
94,2377,微星            ,2029,17,-448,-254,-194,1598
95,4904,遠傳            ,1528,-53,122,121,1,1597
96,1718,中纖            ,1538,0,50,50,0,1588
97,2369,菱生            ,1530,0,12,12,0,1542
98,2535,達欣工          ,1092,0,436,431,5,1528
99,6153,嘉聯益          ,999,0,528,86,442,1527
100,2845,遠東銀          ,1487,-24,58,58,0,1521
101,2855,統一證          ,1508,0,0,0,0,1508
102,00648R,元大S&P500反1   ,120,0,1380,0,1380,1500
103,3189,景碩            ,1647,-10,-145,-157,12,1492
104,006206,元大上證50      ,576,0,908,20,888,1484
105,2352,佳世達          ,1516,-6,-43,-86,43,1467
106,8016,矽創            ,1273,1,175,25,150,1449
107,2401,凌陽            ,1367,0,76,76,0,1443
108,2614,東森            ,1431,0,10,10,0,1441
109,00752,中信中國50      ,10,0,1413,0,1413,1423
110,4935,茂林-KY         ,1004,-16,430,73,357,1418
111,4968,立積            ,1345,27,25,-26,51,1397
112,1326,台化            ,1937,-41,-517,-515,-2,1379
113,2489,瑞軒            ,1326,0,29,29,0,1355
114,1605,華新            ,2498,-10,-1137,75,-1212,1351
115,2610,華航            ,1237,-17,103,83,20,1323
116,00639,富邦深100       ,181,0,1136,180,956,1317
117,1802,台玻            ,1172,0,135,135,0,1307
118,8213,志超            ,1050,0,255,4,251,1305
119,2520,冠德            ,1188,0,85,62,23,1273
120,6592,和潤企業        ,1167,0,63,57,6,1230
121,2820,華票            ,1198,0,8,8,0,1206
122,2481,強茂            ,1376,0,-186,-190,4,1190
123,2505,國揚            ,1030,0,144,2,142,1174
124,8163,達方            ,976,-1,175,11,164,1150
125,00651R,FH香港反1       ,-945,0,2093,0,2093,1148
126,2027,大成鋼          ,1054,0,75,50,25,1129
127,6278,台表科          ,444,55,625,544,81,1124
128,3682,亞太電          ,1123,0,0,0,0,1123
129,3702,大聯大          ,1687,-5,-569,-43,-526,1113
130,1101,台泥            ,1738,-33,-597,-106,-491,1108
131,00671R,富邦NASDAQ反1   ,71,0,1028,0,1028,1099
132,2897,王道銀行        ,1103,-8,1,1,0,1096
133,2478,大毅            ,641,0,448,18,430,1089
134,2340,光磊            ,1010,0,49,19,30,1059
135,2101,南港            ,886,0,143,34,109,1029
