縣市,自行車道路名稱,簡介,挑戰指數,總計長度,路面狀況,重點提醒
台北市,基隆河沿岸自行車道,曾幾何時，基隆河已不再是水患的根源地，她廣袤的河濱腹地，已成為台北市的「城市之肺」，在有計畫的整頓下，河濱綠地成為最愜意的自行車道。以大直橋銜接兩岸，廣闊的河畔蘊藏豐富的生態、供旅人駐足嬉戲，加上規劃完善的自行車租借站，即便您是一時興起，也能在此得到身體與心靈的滿足。,2級。適合有中程騎乘經驗者。,左岸全長為18.1公里，右岸全長17.6公里。出入口多，可隨喜好選擇騎乘段落。,多為柏油路，平整好騎。且為自行車專用道，安全無虞。,可由大直橋銜接兩岸，但建議親子同遊時左右岸分日完成，遊程約安排在3小時上下，以免消耗太多體力。
台北市,景美舊橋至社子島自行車道,台北的自行車網路極為綿密，沿著汀州路防洪壁的任何一道水門走出去，都可以通往景美溪自行車道，以此為起點，遊客可以往社子島方向一路騎去，沿途遊賞古亭、中正河濱公園，也可造訪雁鴨公園，還有充滿人文況味的大稻埕碼頭，全程27.08公里，飽覽新店溪、淡水河及基隆河的風光景緻。北市自行車道發展得十分健全，沿途皆有盥洗設備、停車設備與飲用水的販售，定點還有自行車的租借，並實施甲地租乙地還的服務，相當方便。,3級。若要騎完全程，則適合有長途經驗者。,由景美舊橋至社子島，全長27.08公里，出入口多，可隨喜好選擇段落騎乘。,全程柏油路面無坑洞，平整好騎，且騎經多處河濱公園，不愁沒地方休息。,該路段適合親子共騎，各租借站亦有童車可出租。惟路程較長，需注意幼兒的體能狀況。
新北市,八里左岸自行車道,您知道嗎？從二重疏洪道有條風景優美的自行車道，可以一直騎到八里左岸喔！二重疏洪道有多座規劃完善的公園，你可以悠閒的沿著指標，一直騎至八里左岸公園。八里自行車道沿著淡水河而建，在夕陽餘暉下，旅人可以隨性的由渡船頭一路暢遊至左岸會館、挖仔尾生態公園，到十三行博物館喔。,3級。若欲騎完全程，建議有長途騎乘經驗較佳。,全程25公里，出入口多可隨喜好選擇騎乘段落。,多為柏油路，平整好騎，且人車分道，安全無虞。,建議親子同遊時，八里與二重疏洪道路分日完成，遊程約安排在3小時上下，以免消耗太多體力。
新北市,大漢溪右岸新店土城線,大漢、新店溪的河濱公園是附近居民散步休閒的最佳空間。這條自行車道橫跨了新店、永和、板橋、土城，成為廣大的台北縣民最佳休閒去處。每到假日，都可見到民眾扶老攜幼，無論是在光復賞鳥公園賞鳥、秀朗清溪河濱公園散散步，或是騎自行車徜徉在各河濱公園之間，都十分愜意。,3級。若欲騎完全程，建議有長途騎乘經驗較佳。,大漢溪右岸、新店至土城30公里，出入口多，可隨喜好選擇騎乘段落。,多為柏油路，平整好騎，且人車分道，安全無虞。,光復賞鳥公園有自行車天橋可利用，惟上下坡時需注意安全。河濱公園內較無販賣部，部分定點於租借站內有販賣礦泉水。
基隆市,北寧路自行車道,北寧路自行車道是由八斗子海濱公園，一直到平浪橋的這段自行車道。此段路程風光明媚，海天相伴，美不勝收。沿海而建的整齊木棧道往前延伸，可供旅人悠閒騎著自行車，一邊看海，一邊運動，遠處海面上點點漁船，色彩繽紛，還有基隆嶼為襯，吸引遊客的目光，還有無數釣客立在海蝕平台上垂釣，若您騎累了，也可以走近海邊，在海蝕平台上尋找螃蟹的可愛身影。,1級。適合親子共遊，但上下橋請注意兒童安全。,從平浪橋段經潮境公園至八斗子海濱公園。全長2公里。,平整好騎。平浪橋有上坡，需有耐力。下坡時需注意安全。,全程無樹蔭，要注意防曬。附近無租車店家，需準備自行車。
基隆市,外木山濱海自行車步道,風景優美、沿海規劃的外木山濱海自行車道，是條寬3公尺、全長只有3公里的封閉型車道，它是基隆市的第一條觀光自行車道，獨立的觀光自行車道內，民眾可以安心悠閒的騎著自行車，也可慢跑、散步，享受迎面吹來陣陣的海風。這條自行車道就在位於海岸公路旁，依山傍海，遠眺基隆嶼，蔚藍海面上的漁貨輪相伴，十分愜意，是條最適合現代人減壓抒勞的自行車道。,1級。適合親子共遊。部分路段有上下坡，需注意兒童安全。,全長3公里,沿海有護欄，濱海而騎舒暢愜意。路面平整無坑洞。,全程少樹蔭，要注意防曬。附近無租車店家，需準備自行車，也需攜帶足夠的飲用水，隨時補充。
桃園縣,新屋鄉綠色隧道,新屋綠色走廊可說是北台灣最具規模的自行車專用道，利用防風林與海堤規劃而成的自行車道，遊客在綠意蔽天的林間騎車，真是種享受。周邊設施也建置完成，入口停車場、步道系統、木棧平台、眺望休憩涼亭、廁所、景觀眺望區、休憩座椅、景觀解說設施、指示牌及標誌等，一應俱全，附近亦有店家供遊客租借各款自行車，即使遠來的遊客也可輕鬆上路。,1級。適合親子共遊。,北起永安漁港，南至蚵殼港，全長4公里。,柏油路面，人車分道，路面維護得極佳，很平整。,整段路無明顯上坡，兒童亦可獨自騎乘。綠色隧道兩端都有自行車可租借，但無甲地租車乙地還服務，須騎返還車。
桃園縣,龍潭大池自行車道,龍潭大池原為老街溪中的一個深水潭，清朝乾隆13年，平埔族人欲引水灌溉農田，遂截堵溪水形成池塘，成為今日的龍潭大池。龍潭大池自行車道是沿龍潭大池及其上游野溪規劃，騎乘其間可享受田園及湖岸景色，還有兼具人文意義的景點可參觀，是個集合健身與休閒功能的自行車道。,1級。適合親子共遊。,單程長有2 . 7公里。,平均寬度約2公尺，以木棧道及AC路面鋪成，路況頗佳。,
新竹市,新竹17公里海岸自行車道,到新竹，如果想來趟輕鬆的自行車行，到長達17公里的海岸風景區準沒錯！北起南寮漁港、南至南港賞鳥區，路程中八個魅力景點，海風、綠地、還有貝聿銘建築師事務所設計的環保教育館，絕對是場精采的自行車之旅。,1級。適合親子共遊。如欲一次騎完，則需有中程騎乘經驗較佳。,全長17公里，有多個出入口，有兒童共騎者可視體能決定騎乘距離。,全程以木棧道及柏油路面組成，平坦好騎。,全線配合地形，部分路段有上下坡，惟坡度不大。另自行車道往南過了紅樹林後，因水資源局處理中心施工，部分路段有工程車進出，需注意安全。
新竹縣,峨眉十二寮自行車道,峨眉湖因是重要水庫，湖邊受開發限制，得以保持原始風貌。民國90年湖畔規劃環湖步道，旅人可以騎著自行車，沿峨眉湖走一圈，山光水色盡收眼底。景色秀麗的湖水與綠樹相映，加上附近有許多值得遊覽的風景，是喜愛騎乘登山路線的遊客不可錯過的路線。,1級。適合親子共遊。,5公里。,環湖公路平坦好騎，路面寬敞。,附近無租車店家，十二寮休閒農園有休閒自行車出租。有孩童隨行者可以在此租車。山區蚊蟲多，注意防蚊。
